"","speaker","err_count_by_speaker","err_prop_by_speaker"
"1",11749,16,0.00195862406659322
"2",14542,246,0.0327956272497
"3",14557,59,0.00647284695556775
"4",15187,115,0.0136660724896019
"5",15763,201,0.0201503759398496
"6",15775,29,0.00403057678943711
"7",15778,107,0.0124129930394432
"8",15781,50,0.00696572861521315
"9",15784,44,0.00484795063904804
"10",15787,36,0.00445544554455446
