"","uniqueID","err_prop_by_ID","err_count_by_ID"
"134","15763_MELANIE_FFM_Marilyn_099_hll",0.0757575757575758,5
"135","15763_MELANIE_FMF_Jeremy_117_hll",0.0701754385964912,4
"136","15763_MELANIE_FMM_Jeremy_035_lll",0.0862068965517241,5
"137","15763_MELANIE_MFF_Helena_016_hll",0.0677966101694915,4
"138","15763_MELANIE_MFM_Jeremy_085_hll",0.0892857142857143,5
"139","15763_MELANIE_MFM_Jeremy_130_llh",0.136986301369863,10
"140","15763_MELANIE_MMF_Helena_108_lll",0.087719298245614,5
"141","15775_HARMONY_FMM_Jeremy_030_hlh",0.0144927536231884,1
"142","15775_HARMONY_MFF_Helena_027_hll",0.0166666666666667,1
"143","15775_HARMONY_MFF_Jeremy_076_lll",0.0689655172413793,4
"144","15775_HARMONY_MMF_Helena_026_lll",0.0377358490566038,2
"145","15775_MADELYN_MFF_Marilyn_036_lll",0.0606060606060606,4
"146","15775_MADELYN_MFM_Jeremy_032_lll",0.171428571428571,12
"147","15775_MELANIE_FMM_Jeremy_108_lll",0.087719298245614,5
"148","15778_HARMONY_FFM_Helena_003_lhh",0.0677966101694915,4
"149","15778_HARMONY_FFM_Helena_034_hhh",0.0571428571428571,4
"150","15778_HARMONY_FFM_Helena_064_hhl",0.0307692307692308,2
"151","15778_HARMONY_FMF_Jeremy_134_hhh",0.0256410256410256,2
"152","15778_HARMONY_FMF_Marilyn_096_lll",0.0657894736842105,5
"153","15778_HARMONY_FMF_Marilyn_104_hll",0.0704225352112676,5
"154","15778_HARMONY_FMM_Helena_054_hll",0.0597014925373134,4
"155","15778_HARMONY_MFF_Jeremy_007_hhl",0.0862068965517241,5
"156","15778_HARMONY_MFM_Helena_066_hhl",0.0175438596491228,1
"157","15778_HARMONY_MFM_Helena_109_lhh",0.0945945945945946,7
"158","15778_HARMONY_MMF_Helena_030_llh",0.0508474576271186,3
"159","15778_HARMONY_MMF_Jeremy_023_lhl",0.0491803278688525,3
"160","15778_HARMONY_MMF_Jeremy_068_hhh",0.0125,1
