"","uniqueID","err_prop_by_ID","err_count_by_ID","err_in_ID","oct_jump_prop_by_ID","oct_jump_count_by_ID","oct_jump_in_ID"
"1333","15787_MADELYN_MFM_Marilyn_087_lhl",0,0,0,0,0,0
"1334","15787_MADELYN_MMF_Helena_110_lhh",0,0,0,0,0,0
"1335","15787_MADELYN_MMF_Helena_142_hhl",0,0,0,0,0,0
"1336","15787_MADELYN_MMF_Jeremy_067_llh",0,0,0,0,0,0
"1337","15787_MADELYN_MMF_Jeremy_082_lhl",0,0,0,0,0,0
"1338","15787_MADELYN_MMF_Jeremy_101_hll",0,0,0,0,0,0
"1339","15787_MADELYN_MMF_Marilyn_038_lll",0,0,0,0,0,0
"1340","15787_MADELYN_MMF_Marilyn_097_hlh",0,0,0,0,0,0
"1341","15787_MELANIE_FFM_Helena_002_hlh",0,0,0,0,0,0
"1342","15787_MELANIE_FFM_Helena_019_hhl",0,0,0,0,0,0
"1343","15787_MELANIE_FFM_Helena_061_hhh",0,0,0,0,0,0
"1344","15787_MELANIE_FFM_Helena_068_lhh",0,0,0,0,0,0
"1345","15787_MELANIE_FFM_Jeremy_055_llh",0,0,0,0,0,0
"1346","15787_MELANIE_FFM_Jeremy_069_lll",0,0,0,0,0,0
"1347","15787_MELANIE_FFM_Marilyn_012_hll",0,0,0,0,0,0
"1348","15787_MELANIE_FFM_Marilyn_103_lhl",0,0,0,0,0,0
"1349","15787_MELANIE_FMF_Jeremy_071_hlh",0,0,0,0,0,0
"1350","15787_MELANIE_FMF_Jeremy_075_lhl",0,0,0,0,0,0
"1351","15787_MELANIE_FMF_Jeremy_077_hll",0,0,0,0,0,0
"1352","15787_MELANIE_FMF_Jeremy_135_llh",0,0,0,0,0,0
"1353","15787_MELANIE_FMF_Marilyn_030_hhh",0,0,0,0,0,0
"1354","15787_MELANIE_FMF_Marilyn_081_lhh",0,0,0,0,0,0
"1355","15787_MELANIE_FMM_Helena_020_hll",0,0,0,0,0,0
"1356","15787_MELANIE_FMM_Helena_125_hlh",0,0,0,0,0,0
"1357","15787_MELANIE_FMM_Jeremy_005_hhh",0,0,0,0,0,0
"1358","15787_MELANIE_FMM_Jeremy_021_lll",0,0,0,0,0,0
"1359","15787_MELANIE_FMM_Jeremy_032_lhl",0,0,0,0,0,0
"1360","15787_MELANIE_FMM_Jeremy_033_llh",0,0,0,0,0,0
"1361","15787_MELANIE_FMM_Jeremy_037_hhl",0,0,0,0,0,0
"1362","15787_MELANIE_FMM_Marilyn_085_lhh",0,0,0,0,0,0
"1363","15787_MELANIE_MFF_Helena_006_lhl",0,0,0,0,0,0
"1364","15787_MELANIE_MFF_Helena_011_lhh",0,0,0,0,0,0
"1365","15787_MELANIE_MFF_Helena_102_hhl",0,0,0,0,0,0
"1366","15787_MELANIE_MFF_Helena_132_hll",0,0,0,0,0,0
"1367","15787_MELANIE_MFF_Jeremy_014_hhh",0,0,0,0,0,0
"1368","15787_MELANIE_MFF_Jeremy_023_lll",0,0,0,0,0,0
"1369","15787_MELANIE_MFF_Marilyn_003_llh",0,0,0,0,0,0
"1370","15787_MELANIE_MFF_Marilyn_094_hlh",0,0,0,0,0,0
"1371","15787_MELANIE_MFM_Helena_137_lhl",0,0,0,0,0,0
"1372","15787_MELANIE_MFM_Jeremy_059_hhh",0,0,0,0,0,0
"1373","15787_MELANIE_MFM_Jeremy_086_llh",0,0,0,0,0,0
"1374","15787_MELANIE_MFM_Jeremy_129_hll",0,0,0,0,0,0
"1375","15787_MELANIE_MFM_Jeremy_131_hhl",0,0,0,0,0,0
"1376","15787_MELANIE_MFM_Marilyn_063_lhh",0,0,0,0,0,0
"1377","15787_MELANIE_MFM_Marilyn_104_hlh",0,0,0,0,0,0
"1378","15787_MELANIE_MMF_Helena_044_hhl",0,0,0,0,0,0
"1379","15787_MELANIE_MMF_Helena_106_hll",0,0,0,0,0,0
"1380","15787_MELANIE_MMF_Helena_115_lll",0,0,0,0,0,0
"1381","15787_MELANIE_MMF_Helena_138_llh",0,0,0,0,0,0
"1382","15787_MELANIE_MMF_Jeremy_024_hlh",0,0,0,0,0,0
"1383","15787_MELANIE_MMF_Jeremy_029_lhl",0,0,0,0,0,0
"1384","15787_MELANIE_MMF_Jeremy_053_hhh",0,0,0,0,0,0
"1385","15787_MELANIE_MMF_Marilyn_113_lhh",0,0,0,0,0,0
