Filename,t_ms,F0,ST,lead_ST,ST_diff,ST_jump,ST_jump_trial_mean,ST_jump_count,ST_jump_in_trial
file144,990,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1000,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1010,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1020,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1030,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1040,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1050,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1060,180.949,10.266997617541552,10.266997617541552,0,0,0.0380952380952381,4,1
file144,1070,180.949,10.266997617541552,10.282968015492019,0.01597039795046662,0,0.0380952380952381,4,1
file144,1080,181.116,10.282968015492019,9.792412742163197,-0.49055527332882143,0,0.0380952380952381,4,1
file144,1090,176.056,9.792412742163197,9.932950464339148,0.14053772217595117,0,0.0380952380952381,4,1
file144,1100,177.491,9.932950464339148,9.953421600663448,0.020471136324299977,0,0.0380952380952381,4,1
file144,1110,177.701,9.953421600663448,10.009641284899773,0.05621968423632495,0,0.0380952380952381,4,1
file144,1120,178.279,10.009641284899773,9.9840829898016,-0.025558295098173645,0,0.0380952380952381,4,1
file144,1130,178.016,9.9840829898016,10.143712669484033,0.1596296796824337,0,0.0380952380952381,4,1
file144,1140,179.665,10.143712669484033,10.143712669484033,0,0,0.0380952380952381,4,1
file144,1140,179.665,10.143712669484033,9.19150807254905,-0.9522045969349833,0,0.0380952380952381,4,1
file144,1150,170.05,9.19150807254905,9.937436688901872,0.7459286163528223,0,0.0380952380952381,4,1
file144,1160,177.537,9.937436688901872,9.83523348885376,-0.10220320004811256,0,0.0380952380952381,4,1
file144,1170,176.492,9.83523348885376,9.621453089927247,-0.21378039892651302,0,0.0380952380952381,4,1
file144,1180,174.326,9.621453089927247,9.543418330047333,-0.07803475987991426,0,0.0380952380952381,4,1
file144,1190,173.542,9.543418330047333,9.298583023466744,-0.2448353065805886,0,0.0380952380952381,4,1
file144,1200,171.105,9.298583023466744,9.310922539663169,0.012339516196425038,0,0.0380952380952381,4,1
file144,1210,171.227,9.310922539663169,9.109563137173254,-0.20135940248991524,0,0.0380952380952381,4,1
file144,1220,169.247,9.109563137173254,9.903468519534245,0.7939053823609914,0,0.0380952380952381,4,1
file144,1230,177.189,9.903468519534245,8.6394530939508,-1.2640154255834446,0,0.0380952380952381,4,1
file144,1240,164.713,8.6394530939508,8.45208975963826,-0.18736333431253982,0,0.0380952380952381,4,1
file144,1250,162.94,8.45208975963826,8.327115005908718,-0.1249747537295427,0,0.0380952380952381,4,1
file144,1260,161.768,8.327115005908718,8.205219679071448,-0.12189532683727045,0,0.0380952380952381,4,1
file144,1270,160.633,8.205219679071448,8.24709375989788,0.04187408082643174,0,0.0380952380952381,4,1
file144,1280,161.022,8.24709375989788,8.233218718083497,-0.013875041814381817,0,0.0380952380952381,4,1
file144,1290,160.893,8.233218718083497,8.288759545878701,0.05554082779520364,0,0.0380952380952381,4,1
file144,1300,161.41,8.288759545878701,8.332037205956524,0.0432776600778233,0,0.0380952380952381,4,1
file144,1310,161.814,8.332037205956524,8.238813096083295,-0.09322410987322982,0,0.0380952380952381,4,1
file144,1320,160.945,8.238813096083295,8.106756507273388,-0.13205658880990612,0,0.0380952380952381,4,1
file144,1330,159.722,8.106756507273388,8.21103859103023,0.104282083756841,0,0.0380952380952381,4,1
file144,1340,160.687,8.21103859103023,8.34316050221991,0.13212191118967986,0,0.0380952380952381,4,1
file144,1350,161.918,8.34316050221991,6.0699596339599875,-2.273200868259922,1,0.0380952380952381,4,1
file144,1360,141.994,6.0699596339599875,8.368588878316341,2.298629244356354,1,0.0380952380952381,4,1
